model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
latent_commitment,metric,,solvability,observable,task_specific,mse,5.570584168838391,4.1707705206699375,7.118828569801506,2000,59
latent_commitment,metric,,solvability,observable,task_specific,log_loss,0.7163284651256044,0.67479063497507,0.7603247034519378,2000,59
latent_commitment,metric,,solvability,observable,task_specific,brier,0.24764616727357067,0.22847338867885267,0.26923563378416704,2000,59
latent_commitment,metric,,macro,observable,task_specific,r_squared,0.1814888329849544,0.13140667901354633,0.2281969916122634,2000,196
latent_commitment,metric,,macro,observable,task_specific,mse,2.8913089219596104,2.422429296447536,3.412039983997254,2000,196
latent_commitment,metric,,macro,observable,task_specific,log_loss,0.666587248006205,0.6212373708224481,0.7108646203458071,2000,196
latent_commitment,metric,,macro,observable,task_specific,brier,0.22064654300189787,0.2038858399279083,0.23675327621279268,2000,196
generic_latent_value,metric,,bandit,observable,task_specific,r_squared,0.14531914017013736,0.06258782586407988,0.22262158911765248,2000,78
generic_latent_value,metric,,bandit,observable,task_specific,mse,1.9720007634899954,1.6970736435985554,2.2521969558123134,2000,78
generic_latent_value,metric,,bandit,observable,task_specific,log_loss,0.5844183470449666,0.48217112346226265,0.6947628188010305,2000,78
generic_latent_value,metric,,bandit,observable,task_specific,brier,0.16253197164179875,0.13153844003125328,0.1963620546655513,2000,78
generic_latent_value,metric,,foraging,observable,task_specific,r_squared,0.06559126491101801,-0.010638174632768959,0.1383484281653464,2000,59
