r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes
0.6015800244704718,0.6109285067487877,0.7758849839183107,0.6610557871256496,0.22916963484035027,0.7286585365853658,time,M1,oracle,task_specific,foraging,364,118
0.16910329100433152,5.6341572390186325,0.4196760479504948,0.6847283776126732,0.2412690166015081,0.6991758241758241,time,M1,oracle,task_specific,solvability,313,118
0.19323929113386384,1.8725063707364475,0.4428386197750916,0.5655642023695684,0.16003063477089152,0.7844648655166178,previous_outcome,M2,oracle,task_specific,bandit,1800,78
0.6532486322748663,0.5317009896802112,0.8088966274725127,0.6496957422233252,0.2252172776965906,0.760334849111203,previous_outcome,M2,oracle,task_specific,foraging,364,118
0.5416400826677172,3.108054007621693,0.7369997490737387,0.649739912696171,0.21709374714479554,0.7257326007326007,previous_outcome,M2,oracle,task_specific,solvability,313,118
0.38174966960690826,1.4349703321546716,0.6285798668215795,0.5343722006029771,0.15568103432667102,0.8095830713713602,streak,M3,oracle,task_specific,bandit,1800,78
0.6287763965617794,0.5692261825401573,0.7931336543188257,0.6516658311242303,0.22573360328749292,0.7521186440677966,streak,M3,oracle,task_specific,foraging,364,118
0.3720511933610505,4.258004967830956,0.6138208115772694,0.6830538577141799,0.22723994678423112,0.7130865166579452,streak,M3,oracle,task_specific,solvability,313,118
0.7564031501663798,0.565392746810714,0.869840569523902,0.4446809340742921,0.13653726626133705,0.8487395681718356,choice_inertia,M4,oracle,task_specific,bandit,1800,78
0.6699334466268061,0.5061168590053781,0.8187659495574878,0.6468477502444268,0.22250366256930107,0.7473129392310872,choice_inertia,M4,oracle,task_specific,foraging,364,118
0.6651213680177488,2.270750200534604,0.8158815778807342,0.5784382951349891,0.1934004887714926,0.787611198325484,choice_inertia,M4,oracle,task_specific,solvability,313,118
0.78280718911548,0.5041084891590849,0.8847736155540976,0.4492572801196486,0.1372872202179597,0.851099379042468,finite_history,M5,oracle,task_specific,bandit,1800,78
0.6699722047108136,0.5060574282041094,0.8187832546797396,0.6464500503441589,0.22232154471920057,0.7486392448670249,finite_history,M5,oracle,task_specific,foraging,364,118
0.6589205046919464,2.312797110357444,0.8123698172822448,0.5758368293249689,0.19352342953947974,0.7904020582592011,finite_history,M5,oracle,task_specific,solvability,313,118
0.28188141439232306,1.6667663803118375,0.5330824989454779,0.5525502531596495,0.15775306050008767,0.7951959762640921,rescorla_wagner,M6,oracle,task_specific,bandit,1800,78
0.2868548310455733,1.65522298923541,0.5373880415745621,0.555833951806922,0.15778211859562347,0.7901835312761065,bayesian,M7,oracle,task_specific,bandit,1800,78
0.5534829355206118,1.0363742788804116,0.7453475629456049,0.49319481877309873,0.1462488027677183,0.8237677739404535,value_history_hybrid,M8,oracle,task_specific,bandit,1800,78
0.046036728111488845,2.21416621363525,0.2402353950084512,0.6090914036398217,0.1645917109891436,0.6525910551110575,termination_advantage,M9,oracle,task_specific,bandit,1800,78
0.16711836192484142,1.2771225508245876,0.41106878808768615,0.69659499241569,0.24691313948122146,0.6014709935234945,termination_advantage,M9,oracle,task_specific,foraging,364,118
0.027542474781025006,6.594055008321371,0.17536555857084946,0.8091658921939208,0.3025031097060401,0.5024420024420024,termination_advantage,M9,oracle,task_specific,solvability,313,118
0.17806982794579906,1.9077149724297862,0.4271445565055738,0.5781403018636433,0.1620238527208147,0.7833366347718993,sticky_termination,M10,oracle,task_specific,bandit,1800,78
0.6868480695656455,0.4801803448521661,0.8300569694449577,0.6449473447875966,0.22387307141857243,0.7220959073997519,sticky_termination,M10,oracle,task_specific,foraging,364,118
0.15944375955742796,5.699656739062246,0.404266322146209,0.7137867146101863,0.2534296377756496,0.609105180533752,sticky_termination,M10,oracle,task_specific,solvability,313,118
0.28133571258116297,1.6680329642030585,0.5335003965682417,0.5555423704686225,0.15789443218876473,0.7242121762795946,decomposed_meta_control,M11,oracle,task_specific,bandit,1800,78
0.6849796558759789,0.4830453296810517,0.8282160510263394,0.6353597443871087,0.2202640812710114,0.7339982086261541,decomposed_meta_control,M11,oracle,task_specific,foraging,364,118
0.6974904679688352,2.0512613075886077,0.8352719078770047,0.53695793661822,0.17119456546098522,0.8439080760509332,decomposed_meta_control,M11,oracle,task_specific,solvability,313,118
0.7166992975421412,0.43440712249287056,0.8499489950747828,0.6433040707133691,0.2231793535620614,0.7496038307840706,mvt_like_foraging_threshold,M12,oracle,task_specific,foraging,364,118
0.1844862490976693,1.892822341501972,0.4385367511922818,0.5860932286441101,0.16274176678921826,0.7758524170836527,disengagement_accumulator,M13,oracle,task_specific,bandit,1800,78
0.16711836192484142,1.2771225508245876,0.41106878808768615,0.69659499241569,0.24691313948122146,0.6014709935234945,disengagement_accumulator,M13,oracle,task_specific,foraging,364,118
0.027542474781025006,6.594055008321371,0.17536555857084946,0.8091658921939208,0.3025031097060401,0.5024420024420024,disengagement_accumulator,M13,oracle,task_specific,solvability,313,118
0.23153403298363273,1.783623574026899,0.4821421664585115,0.5757073298352037,0.16152536247920565,0.7816055326368734,latent_commitment,M14,oracle,task_specific,bandit,1800,78
0.18809359066524667,1.244959592237838,0.43492901184603233,0.6979136574139649,0.24763582634309042,0.5845907399751964,latent_commitment,M14,oracle,task_specific,foraging,364,118
0.17314299758323304,5.606764734248046,0.4178150025756364,0.7103948523885911,0.24430813328117248,0.6356837606837606,latent_commitment,M14,oracle,task_specific,solvability,313,118
0.1844862490976693,1.892822341501972,0.4385367511922818,0.5860932286441101,0.16274176678921826,0.7758524170836527,generic_latent_value,M15,oracle,task_specific,bandit,1800,78
0.16711836192484142,1.2771225508245876,0.41106878808768615,0.69659499241569,0.24691313948122146,0.6014709935234945,generic_latent_value,M15,oracle,task_specific,foraging,364,118
0.027542474781025006,6.594055008321371,0.17536555857084946,0.8091658921939208,0.3025031097060401,0.5024420024420024,generic_latent_value,M15,oracle,task_specific,solvability,313,118
0.8125222672123144,0.43513924904641843,0.9017417735460188,0.4402553560758894,0.13472741522507145,0.8621620690546116,flexible_linear,M16,oracle,task_specific,bandit,1800,78
0.7763953059418885,0.34287056431189705,0.8832102365335255,0.6328239120821777,0.21880539204686456,0.7505856414496348,flexible_linear,M16,oracle,task_specific,foraging,364,118
0.8602208027598863,0.9478169397812665,0.9275168718637427,0.4809213805364912,0.15852318558011452,0.8605006105006106,flexible_linear,M16,oracle,task_specific,solvability,313,118
1.0,0.0,1.0,0.38808249446187804,0.11702814500208379,0.8869099396267365,oracle_policy,CEILING,oracle,task_specific,bandit,1800,78
1.0,0.0,1.0,0.6262113436157409,0.21412913978857978,0.7687577511368334,oracle_policy,CEILING,oracle,task_specific,foraging,364,118
1.0,0.0,1.0,0.3970328365209619,0.1261782985277781,0.9150968079539508,oracle_policy,CEILING,oracle,task_specific,solvability,313,118
-0.002015861354095705,2.3256971532507293,1.7101033262022243e-16,0.6157860788809038,0.16529656330525647,0.5,intercept,M0,oracle,shared_architecture_task_observation,bandit,1800,78
-0.0033796603946789627,1.5385605021744098,0.0,0.7223927703387848,0.2615047896388181,0.5,intercept,M0,oracle,shared_architecture_task_observation,foraging,364,118
-0.0001145357452034812,6.781592092508784,0.0,0.7768774237007995,0.29127618235619696,0.5,intercept,M0,oracle,shared_architecture_task_observation,solvability,313,118
0.5051679021328982,1.148514355642441,0.711291945118427,0.5189482246478496,0.1540697023961778,0.8198921721456193,time,M1,oracle,shared_architecture_task_observation,bandit,1800,78
0.6015800244704718,0.6109285067487877,0.7758849839183107,0.6610557871256496,0.22916963484035027,0.7286585365853658,time,M1,oracle,shared_architecture_task_observation,foraging,364,118
0.16910329100433152,5.6341572390186325,0.4196760479504948,0.6847283776126732,0.2412690166015081,0.6991758241758241,time,M1,oracle,shared_architecture_task_observation,solvability,313,118
0.19323929113386384,1.8725063707364475,0.4428386197750916,0.5655642023695684,0.16003063477089152,0.7844648655166178,previous_outcome,M2,oracle,shared_architecture_task_observation,bandit,1800,78
0.6532486322748663,0.5317009896802112,0.8088966274725127,0.6496957422233252,0.2252172776965906,0.760334849111203,previous_outcome,M2,oracle,shared_architecture_task_observation,foraging,364,118
0.5416400826677172,3.108054007621693,0.7369997490737387,0.649739912696171,0.21709374714479554,0.7257326007326007,previous_outcome,M2,oracle,shared_architecture_task_observation,solvability,313,118
0.38174966960690826,1.4349703321546716,0.6285798668215795,0.5343722006029771,0.15568103432667102,0.8095830713713602,streak,M3,oracle,shared_architecture_task_observation,bandit,1800,78
0.6287763965617794,0.5692261825401573,0.7931336543188257,0.6516658311242303,0.22573360328749292,0.7521186440677966,streak,M3,oracle,shared_architecture_task_observation,foraging,364,118
0.3720511933610505,4.258004967830956,0.6138208115772694,0.6830538577141799,0.22723994678423112,0.7130865166579452,streak,M3,oracle,shared_architecture_task_observation,solvability,313,118
