model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
generic_latent_value,choice_inertia,oracle,fully_shared,-0.18321328311801555,-0.11006744627465703,-0.016260814477580432
flexible_linear,time,oracle,fully_shared,2.350377027349678,0.838208226029743,0.17958967765552913
flexible_linear,choice_inertia,oracle,fully_shared,2.2262360833801953,0.8012791789829599,0.15637617504779555
oracle_policy,time,oracle,fully_shared,4.337785071537992,1.3294660067959885,0.300968336663844
oracle_policy,choice_inertia,oracle,fully_shared,4.213644127568509,1.2925369597492056,0.2777548340561104
intercept,time,oracle,shared_architecture_task_observation,-1.0840832155080204,-0.42712042503389325,-0.08344129451143845
intercept,choice_inertia,oracle,shared_architecture_task_observation,-2.434529980527742,-0.6989893407683043,-0.14836309782225998
intercept,gru,oracle,shared_architecture_task_observation,-2.349138856409864,-0.7189924838522583,-0.16475852430817983
time,choice_inertia,oracle,shared_architecture_task_observation,-1.3504467650197218,-0.27186891573441113,-0.06492180331082154
time,gru,oracle,shared_architecture_task_observation,-1.2650556409018434,-0.29187205881836514,-0.08131722979674139
previous_outcome,time,oracle,shared_architecture_task_observation,0.6271129111238365,0.03742559615624863,-8.915596763070521e-05
previous_outcome,choice_inertia,oracle,shared_architecture_task_observation,-0.7233338538958853,-0.2344433195781625,-0.06501095927845224
previous_outcome,gru,oracle,shared_architecture_task_observation,-0.6379427297780069,-0.2544464626621165,-0.08140638576437209
streak,time,oracle,shared_architecture_task_observation,0.3771328729613588,0.03557534730734552,-0.0014531666850715608
streak,choice_inertia,oracle,shared_architecture_task_observation,-0.973313892058363,-0.23629356842706561,-0.0663749699958931
streak,gru,oracle,shared_architecture_task_observation,-0.8879227679404846,-0.2562967115110196,-0.08277039648181295
choice_inertia,time,oracle,shared_architecture_task_observation,1.3504467650197218,0.27186891573441113,0.06492180331082154
choice_inertia,gru,oracle,shared_architecture_task_observation,0.08539112411787841,-0.02000314308395401,-0.01639542648591985
finite_history,time,oracle,shared_architecture_task_observation,1.3522504748228965,0.27666764906208957,0.06395094335028584
finite_history,choice_inertia,oracle,shared_architecture_task_observation,0.00180370980317468,0.004798733327678439,-0.0009708599605356971
finite_history,gru,oracle,shared_architecture_task_observation,0.0871948339210531,-0.015204409756275572,-0.017366286446455548
rescorla_wagner,time,oracle,shared_architecture_task_observation,0.797766986824783,-0.14340232481024412,0.06902720996907474
