stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,time_effort,6,-0.007797088036017123,0.396830426385034,0.591899521725034,0.11366734714890044,False,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,6,0.02530095973644249,0.16515301528387705,0.15881236595200263,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,6,0.18848961229921735,0.2189559771599948,0.45091270783520826,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,6,-0.869552259746654,0.7054601691566266,0.15627765581045572,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,6,-0.014465455455887325,0.6975613509926184,0.05174480816658164,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,6,-0.3522263760563635,1.3709826615767333,0.13177965230826297,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,7,-0.49467629504527794,3.345964848609053,0.2527880234817264,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,7,0.643576248936652,0.1493541176747131,0.8080191311612922,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,7,0.10068602833382374,2.2573677723952947,0.6555706592033325,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,7,0.540059580283929,0.21780695285054966,0.7850458110913858,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,7,0.30764707262164936,0.34486064648146525,0.6980161844946137,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,7,-0.020432865725470612,0.20013148685537097,0.06825612680717898,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,7,0.4680172246113939,0.1595024844238266,0.6921878171987145,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,7,-0.5253150712559321,0.5856384716153343,0.27792711920342883,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,7,-0.04330004633322212,0.8060881226204178,0.13478798831476016,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,7,-0.5346894144881801,1.3838035976400425,0.18795797124017202,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,8,-0.1886436630511816,2.65265179439637,0.27708188573974446,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,8,0.27398361562521767,0.2870881042605361,0.5366389239389643,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,8,0.0055471284445394176,3.1502903012568138,0.4780424110972394,0.011912039646849023,False,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,8,0.15523004916803715,0.39821939833283365,0.5016228944930119,0.4234693514441359,False,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
