key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L19-k1,static,19,1,0.36958998441696167,0.9969947338104248,0.0739469151943922,0.03116310698290666,0.0011282589985057712,no_persistence_specific_candidate,0.08807457238435745,0.09924626350402832,0.02064456418156624,0.07277924567461014
static-L19-k2,static,19,2,0.5696205496788025,0.9932381510734558,0.2497623309493065,0.15926476567983627,0.0014611163642257452,no_persistence_specific_candidate,0.09779133647680283,0.13263656198978424,0.04391411319375038,0.11691359430551529
static-L19-k4,static,19,4,0.7488400936126709,0.9932381510734558,0.28883791118860247,0.19670177002747855,0.0030873401556164026,no_persistence_specific_candidate,0.11262516677379608,0.18360859155654907,0.11046216636896133,0.20878282189369202
static-L20-k1,static,20,1,0.38623395562171936,0.9947407841682434,0.08305798061192035,0.045546699315309525,0.0007919247727841139,no_persistence_specific_candidate,0.06545888632535934,0.06058841571211815,0.029662374407052994,0.05135369673371315
static-L20-k2,static,20,2,0.5866318345069885,0.9932381510734558,0.22555503398180007,0.16581114629904428,0.001476412289775908,no_persistence_specific_candidate,0.0695963129401207,0.08719344437122345,0.058139026165008545,0.09706909954547882
static-L20-k4,static,20,4,0.7467474937438965,0.9932381510734558,0.31000152230262756,0.22447987894217172,0.002934253541752696,no_persistence_specific_candidate,0.08409078419208527,0.1406809687614441,0.1369321495294571,0.19181299209594727
static-L21-k1,static,21,1,0.3739481270313263,0.9947407841682434,0.07027241252362729,0.03890585961441199,0.0010219940450042486,no_persistence_specific_candidate,0.05949501693248749,0.05657486245036125,0.031010586768388748,0.04345657303929329
static-L21-k2,static,21,2,0.5954908132553101,0.9917355179786682,0.2615019202232361,0.21374522149562836,0.0019105084938928485,no_persistence_specific_candidate,0.06731011718511581,0.07859353721141815,0.064702108502388,0.11106052249670029
static-L21-k4,static,21,4,0.7506738901138306,0.9939894676208496,0.35303754210472105,0.25407985349496204,0.0027832482010126114,persistence_specific_candidate,0.07947207987308502,0.12080424278974533,0.13660673797130585,0.20776577293872833
static-L22-k1,static,22,1,0.3713953197002411,0.9939894676208496,0.08072825409471988,0.051299026856819786,0.001327579841017723,no_persistence_specific_candidate,0.05145192891359329,0.07714629918336868,0.04568617790937424,0.07056339830160141
static-L22-k2,static,22,2,0.6153704524040222,0.9909842014312744,0.2763579308986664,0.22580582400163016,0.0019342872546985745,no_persistence_specific_candidate,0.0725700706243515,0.1002805233001709,0.08153272420167923,0.1340373009443283
static-L22-k4,static,22,4,0.7320424318313599,0.9917355179786682,0.34292659163475037,0.27757811546325684,0.002824110444635153,persistence_specific_candidate,0.08045072853565216,0.1264820694923401,0.12100157886743546,0.19379711151123047
static-L23-k1,static,23,1,0.42769724130630493,0.9939894676208496,0.08212060779333115,0.029735318385064602,0.0010564434342086315,no_persistence_specific_candidate,0.0227537602186203,0.04825526103377342,0.02380260080099106,0.033115699887275696
static-L23-k2,static,23,2,0.6295578479766846,0.9932381510734558,0.2506247252225876,0.12632137288649878,0.0017531926278024912,no_persistence_specific_candidate,0.04171070456504822,0.07517437636852264,0.045971110463142395,0.08327841013669968
static-L23-k4,static,23,4,0.7457911968231201,0.9932381510734558,0.33013550043106077,0.19270261625448862,0.0030026896856725216,no_persistence_specific_candidate,0.19534485042095184,0.3152768611907959,0.24889062345027924,0.31819286942481995
