model,sharing,information_set,selected_hyperparameters,task,states,log_loss,brier,auc,calibration_error,calibration_intercept,calibration_slope,deviance_explained,policy_logit_correlation,bootstrap_unit,log_loss_ci_low,log_loss_ci_high
finite_history,task_specific,observable,"{""history_lag"": 2, ""penalty"": 0.01}",solvability,313,0.5163561934453822,0.17416910702024324,0.7940650619222048,0.05603117273385445,0.5338770898577233,0.1961788362937907,0.2187644625518551,-0.6791397683979703,episode,0.4714857724101292,0.5620290834394793
finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",bandit,1800,0.15751810156613202,0.03884234286159134,0.7914667860926183,0.04814215438965517,0.09495931068872981,0.016504197251845723,0.00940385770595531,-0.7940930491447922,episode,0.12516508303140633,0.21210569513261332
finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",foraging,364,0.6252682138740112,0.21627009625031454,0.5671248449772633,0.1119601607315972,0.4173763456961397,0.12804492981764806,0.007474693660285303,-0.13242555037020762,episode,0.5985519771992615,0.6549250052536789
finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",information_sampling,40,0.782862604552772,0.2918669091656811,0.5101010101010102,0.20805435763327607,0.5947877064645892,0.06746759888802217,-0.1376521552795429,-0.6733541374795273,episode,0.6977906216502551,0.8834534069305434
finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",partial_reinforcement,20,0.6156752140518655,0.21588969833104055,0.6666666666666667,0.40579896169165963,0.5923535184821024,0.15582104000922017,0.0851938469539224,-0.6317234085144912,episode,0.4364684281350702,0.8260001365222495
finite_history,fully_shared,observable,"{""history_lag"": 5, ""penalty"": 0.01}",solvability,313,0.5963946828419275,0.20494633622370903,0.7320338391766964,0.141802019958157,0.5914642832937174,0.328376723777856,0.09766799256855907,-0.5714431334634236,episode,0.5555374657657093,0.6449593286977682
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",bandit,1800,0.13612362695372507,0.033948405742290313,0.8164773363419486,0.011814613755720207,0.1094579030616282,0.01640984999588711,0.14394892780737767,-0.799346731420419,episode,0.10079948114070869,0.1972909176853519
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",foraging,364,0.5567086789591277,0.18668257317595408,0.7598008819071241,0.11925966948036693,0.46314034424167416,0.24567769235463385,0.11630330813966183,-0.7514334695472602,episode,0.5242759279616821,0.5889163620023941
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",information_sampling,40,0.7943319048699568,0.2962586721392954,0.5328282828282829,0.25447031987005536,0.6092449328819701,0.08336442521898539,-0.15431928709745302,-0.8385079869773314,episode,0.7244714109281831,0.8861850448405286
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",partial_reinforcement,20,0.5299136344925672,0.1821106692493834,0.9166666666666667,0.3419586994179375,0.5210569764933135,0.18546132821028075,0.21262340540482927,-0.7113366936564628,episode,0.3272356118195262,0.7434518614757835
finite_history,hierarchical,observable,"{""history_lag"": 2, ""penalty"": 0.01}",solvability,313,0.5572178140096486,0.1878364005326886,0.7484083376940521,0.1080295144997148,0.5509907703851391,0.24136389342652037,0.15694173144539947,-0.6094538220618482,episode,0.516437921550227,0.6017313658963513
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",bandit,1800,0.14917668333011763,0.03511320413450765,0.8016251690193006,0.02734635131230028,0.45231167264831484,0.12272141008216539,0.06186117304750638,-0.7186642067303526,episode,0.11229259449514015,0.2176507605260903
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",foraging,364,0.5830575455278508,0.19753499485517179,0.7278145239079509,0.12468354904354677,0.6098986250931224,0.48578624703167833,0.0744781900822522,-0.6787778075262546,episode,0.5647969978200623,0.6028448345416298
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",information_sampling,40,0.79143099899623,0.29367753097257093,0.4646464646464647,0.24697350709626162,0.5392432017356624,-0.018610799325028567,-0.1501037046947229,-0.19805786800881847,episode,0.7098554417653418,0.9089179214099902
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",partial_reinforcement,20,0.6773526230103257,0.22082901753242923,0.75,0.40712241668348315,0.609925775131192,0.12193989496362341,-0.006450045688449757,-0.7183578436812277,episode,0.4075916857194914,1.0772119383529204
exponential_reward,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",solvability,313,0.5004579033580348,0.1638873796992036,0.8245682888540031,0.10672442887122498,0.5386480858772266,0.24918059980853619,0.24281822497120564,-0.8163991214000973,episode,0.4571068206274895,0.5450790856985122
exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",bandit,1800,0.17027830615573503,0.037919197346684384,0.6362833840032383,0.048221760097953655,0.12890098826901153,0.03616432529256227,-0.0708422176064536,-0.271145136920049,episode,0.14164077636888348,0.21806574668626472
exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",foraging,364,0.6304672402924836,0.21688917235832378,0.6275664875292821,0.1315419671637936,0.40878587164203667,0.10068665241918043,-0.0007780292099393016,-0.09457666282112508,episode,0.5971235202904795,0.6694023381314087
exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",information_sampling,40,0.7791332443454936,0.29008271239363637,0.4747474747474747,0.2687794081809854,0.5137407419974584,-0.058944244711627694,-0.13223266704118486,-0.18880052820582477,episode,0.7062826693478768,0.8895710369325431
exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",partial_reinforcement,20,0.658837729667175,0.23085779574049764,0.75,0.46503796168179357,0.6015895262296844,0.2455213687204607,0.021060463045265987,-0.673097133385309,episode,0.5449156384927393,0.8063378598356594
exponential_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",solvability,313,0.5714966732069559,0.19340081767484935,0.7702337345194489,0.14050393185274987,0.6024616371555139,0.4081734182948809,0.13533813226181646,-0.7485526562542076,episode,0.541622757974246,0.6075661980212965
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",bandit,1800,0.15662338861897235,0.03578288119474592,0.6152948471721025,0.027400683572942227,0.13647815560356555,0.03255947181802297,0.015030507501152424,-0.1898608072778192,episode,0.12415851715948796,0.21363292013256527
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",foraging,364,0.6151442278180231,0.21176958303569804,0.6520945294198703,0.13874359117978605,0.4446363618211052,0.17681783037834825,0.02354509695064544,-0.19450239721166143,episode,0.5886417052604116,0.644185892664597
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",information_sampling,40,0.7889709382375372,0.294175688654421,0.4722222222222222,0.2765579196310446,0.5289522526628684,-0.03188158766005435,-0.1465287562836355,-0.12161397774017725,episode,0.7087117344621718,0.9080761122203599
